User,Bio,Country
julia-smith16,,united-states
hope.dot,,united-states
florian.rei,,germany
florian.richt,,united-kingdom
per_wei,,sweden
perandersen28,,denmark
florian.tallian,,sweden
rich_bo,In vino veritas. Burp.,united-states
perb2,,denmark
julia-patten,,united-states
florian_lei,,spain
florian.lavigne,,france
nancy.de-sm,,belgium
hongchul.yoon,,mongolia
rich_kelly1,,united-kingdom
florent.grandjean,,united-kingdom
florent.thouminot,,france
horia.dragusinoiu,,romania
richa.thakur,,netherlands
horia-adrian,,switzerland
flori.p,Wine & Life Enthusiast,albania
rich_sil,,united-states
per.neyman,,sweden
rich_mann,,united-kingdom
florian-schro,Your wine-lover from the Mosel - Ihr Weinkenner von der Mosel,germany
horacio.silv,,portugal
john.parov,,russia
julia-woolley,,united-states
rich_kim,,united-states
john.parr2,,canada
hope.bag,,united-states
rich_allyson,"Loving wine for 37 years - together in marriage. 💍
Enjoy the Journey! 🍷🍷",united-states
percy-ja,,canada
rich.wood1,,united-kingdom
floris-van-a,Whine less & wine more!,netherlands
honyam,,united-states
rich.saus,,united-states
floris.mo,,netherlands
floris.pouw,,netherlands
pernilla.aponte-savestrand,,united-states
mikko.rantanen,,finland
julia-kudrjavtseva,,estonia
rich.rueb,,united-states
john.popovich,,russia
floris.y,,netherlands
john.price11,,united-arab-emirates
john.prouse,,australia
mikko.soi,Enjoying and learning about red wines. Favourites: Pinot noir,finland
mikko.uromo,,finland
pernilla-martensson,,sweden
permsirit,,thailand
john.pisto,,united-states
florin.da,,romania
floriekem,,netherlands
percy.siaga,,south-africa
perh6,,norway
peri.block,,united-states
peri.z,,united-states
honziek,,malaysia
florin.gal,,romania
perla.cas,,united-states
florin.ichim,,romania
florin.lapadat,,romania
julia-mcgo,,united-kingdom
julia-martin-,,united-states
honza.nahlovsky,,czech-republic
mikko.mallikas,,finland
iain-scott1,,united-kingdom
richard.wib,,united-states
naoto.tsuchiya,,japan
pauliina.maatta,,finland
igor.smnchk,,united-kingdom
f62f233718e13bb8376026888a6e6588,,united-kingdom
f64626b3dbf9617f25c6a1118c0084d5,,portugal
ricky.kw,Work Hard! Drink Harder!,australia
julien.miquel,Winemaker & Blogger. Founder of 2015 Best New Wine Blog SocialVignerons.com,france
igor.shulz,,united-states
natalie-parsons,,united-states
f6932c0c7729daddcec92e8ee3c326fc,,united-states
natalie-murphy,,united-kingdom
igor.savic1,,republic-of-serbia
natalie-macdonald,,canada
julien.flirden,,france
mike.schotzinger,,united-states
f6aaf39019d0b7c50d51b492fd9884c5,Bay Area raised. Studied abroad in Florence and Paris. Currently in Pacific Northwest,united-states
ricky.ec,,panama
julien.mz,,france
natalie-r2,,canada
paulina-ek,,sweden
igor.ven,,russia
paulgordon,"Mainly a drinker of red, particularly Spanish and Italian.",ireland
natalie.allen1,,united-kingdom
natalie.ackerley,,united-states
igor_david,,czech-republic
ricky.simkiss,,united-kingdom
f5de91a84974b12d8e2463ea1069d50a,La vie en rouge,united-kingdom
pauli.saastamoinen,,sweden
natalie-thompso,,united-states
igor.yatcenko,,ukraine
f5fa8f5ebdf75926813caffb7afbca8f,,united-states
julien.oh,,korea-south
igor.yat,,ukraine
ricky.ng7,,hong-kong
igor.woj,,poland
igor.volobaiev,,ukraine
john-prud,,egypt
ricky.cousins,,united-kingdom
rick.michelman,,united-states
f7ce8c535402d0bbe843e8f905671d3f,,canada
natalie-lav,,russia
rickman.hung,,hong-kong
paulina.pine,,guatemala
igor.kowal,,poland
rickjones9,,canada
mike.sloane,,canada
rickie-rj,,denmark
juliekelly8,,united-kingdom
john-rel,I live in the Bergerac region of France from April until October and the rest of the year in Wales,france
paulina.szelagowska,,belgium
rickgout,,united-states
igor.kiksu,,malaysia
rickf8,,united-states
f840db13d0d8a23c3ec80a0440416f4f,,united-states
mike.slonosky,,canada
julien-ber,,france
natalie-leu,,united-states
f6dc3029e8b8808a5ab0d9fbb8411cd4,,sweden
f7c2700c4edb1db21816bbee9b28e75b,,russia
julien.coss,,france
igor.rost,,canada
f6fbcde661d02beae04cd08f128d9a1a,,united-states
john-quinla,"I like to drink loads of wine really fast, roll around for a while and then black out",ireland
f71770abd94cd2de554c1d66584baa6c,,united-states
john-rafferty,,united-states
paulina.do,Wine wine wine,united-kingdom
ricky-r,,united-states
ricky-hil,,south-africa
igor.mikolajczyk,,poland
julien-hart,,germany
igor.masalkin,,canada
rickw5,"Dutch wine enthousiast with a focus on champagnes, cavas and bordeaux reds.",netherlands
f7bbead67b0b28364467b068d5e58e08,,united-states
f7bcee936bd744b393f5f035a246a124,,italy
julien.petiot,,france
f5938919543702306140f6cc3a5e9ea9,,denmark
ricky_cheung6,,ireland
natalie.de-b,,south-africa
julient2,"Native from Burgundy, I love tasting wines and restaurants.",switzerland
paulbeck1,,united-kingdom
paulbest5,,united-kingdom
il-ia.rylov,,ireland
rien-van-h,,belgium
john-nordseth.nesse,Eigar av Nesebar,norway
paulburns4,So much wine  so little time!  Nice to share  the learning and tasting with others,united-states
paulc13,,canada
f3cc284a0a91e98775d273b6ac56f9f8,,netherlands
iker.medina,,mexico
john-norris1,,united-kingdom
ikei,,denmark
rie.hirano,,japan
juliend8,,united-states
paulcichonski,,united-states
paulbarrett6,,united-kingdom
il.hong,,united-states
igor_sal,,brazil
ilan-d,,israel
natalie.dimitriou,,united-states
juliestein1,,united-states
juliesharp1,,united-states
ildag,,united-states
rigo-la,Wine Enthusiast!,united-states
f330fc88b51ea28e6ebac1a07ca58633,Champagne fixes everything,switzerland
natalie.diezyn,,canada
f33b511f4f11db3516b3f7817bcd3d48,,israel
rigel.cua,,singapore
ilaria.luckovich,,united-states
john-mur,Mordini married,united-states
john-murphy.john-murphy,,ireland
paulanderson15,,united-states
f3728aaa52ac4cf0ee1a3da4629debc6,,united-states
paulandrews10,,united-kingdom
ridder-oscark,,denmark
rico.wa,,united-kingdom
ijongil.li-zhong-,,france
f4323961cf43f232c41117c4c2d8db0a,,czech-republic
ihun,,russia
f53deb54d73694f1246dce8c55bafec4,,canada
ihord,,ukraine
ihor.k,,poland
paulette.gagne,,canada
f5413dcef51324165f05f2036bfc9c72,,ukraine
mike.rune,,united-states
ihar.jetfire,,belarus
ih.y,"한궈런, 조선불반도인.",australia
igors.sokolovs,,latvia
igors.j,,latvia
paulfox2,,united-states
igorgri0,,russia
paulgeo,,germany
igor_savel,,russia
f53b9259efeae858f0507348769b8c5f,I am currently on a Riesling binge and exploring the producers of the world.,canada
ricky_ramir,,dominican-republic
john-parki,,australia
julien_bec,"Love life! 
Owner of Des Amis (Valkenburg). ",netherlands
john-o-brien19,,united-kingdom
paulconnolly5,,united-kingdom
julien_bertin,,france
paulcooper17,,spain
john-o-neill6,,new-zealand
f45d96a6f3d124761b5d5e793074aed7,,canada
john-oliverd,,united-kingdom
f501ad3a1731391e4913590eedc66e1c,,united-kingdom
natalie.byr,,united-kingdom
f484c79f6e16af471f128367810f5907,May the darkside be with you.,japan
mike.rose2,"WSET level 3
Lover of all things wine, particularly old world. ",australia
julien.sco,,united-kingdom
iina.miettinen,,finland
john-owr,,united-kingdom
f86679c22aa05682e0558e666698f98c,,australia
igor.ismagilov,,russia
igor.ilich-herzog,,spain
natalia.varga1,,sweden
john-stefankiewicz,,united-states
julie_boga,,united-states
mike.varl,,canada
iggy.arbuckle,"A craft beer enthusiast, g&t connoisseur, newbie red wine drinker",thailand
igemie,,united-kingdom
igals0,,israel
fabian-martin1,,germany
igal.k,There is more than Cabernet Sauvignon.,israel
paulmiller26,,united-states
paulmilo1,,netherlands
john-stone11,,korea-south
rick.s4,,united-states
rick.rosencrans,,united-states
iftikharj,,malaysia
rick.roba,,united-states
mike.van-der-werf,,netherlands
julie_cole1,,united-kingdom
paulius.sr,,united-states
rick.stock1,,united-kingdom
john-sincl,,panama
julie_doy,,ireland
pauljackson1,,united-states
fab.ff,,switzerland
rick.van-der-meer,,netherlands
rick.van-den-,,netherlands
fab.io2,,luxembourg
fab.life,,united-states
rick.turnb,,canada
mike.usry,A wannabe Sommelier ,united-states
faberr,Wine enthusiast with experience in restaurant and distribution wine sales.,united-states
paulkelly12,,united-kingdom
ignacio.sav,,argentina
ignacio.rimoldi,,argentina
john-smith113,,singapore
john-stowe,,united-states
paulmorton2,,united-kingdom
fabian.jadue,,south-africa
paulmurphy13,,netherlands
fabiana.camarg,,united-states
john-thompson1,,united-states
rick.padgett,,united-states
paulo-de-sa,,united-kingdom
paulo-eduardos,,brazil
fabiano-bra,,italy
julie.wardz,Hi - I particularly love soft fruity red wine and am very partial to Merlot,united-kingdom
natalia.padalka,,ukraine
paulo-esteve,Numismatist and wine entusiasta! President of Wine Expo Poland - Minium wine 200ml,portugal
rick.moriarty,,united-states
idilia.seixas-duarte,,united-states
john-tibe,,united-states
john-toc,Love reds all types . Big fan of local New JERSEY wines. Amalthea is a must try.,united-states
john-toka,,australia
fabiano.lour,,brazil
john-t33,,australia
fabiana-m-,,canada
paulo-chac,,costa-rica
john-swinb,,united-kingdom
john-sum,,united-states
rick.penney,RR,australia
ieva.urbon,,lithuania
ieva.plata,,latvia
fabian.po,,united-states
paulnorris0,,united-kingdom
julie.zeto,,united-states
fabian_martin2,,canada
fabian.stol,,netherlands
fabian.thomasson,,sweden
john-syke,,united-states
paulo-britt,,brazil
fabian_grob,,germany
paulo-cesar.lara-sawada,,brazil
julie_erb,,united-states
ignas.liutkus,,lithuania
f8a49b42966991dbd6ef50fb33649963,,united-kingdom
john-rossd,Montreal,canada
f93e4725c9f1f694344c00473a13b01f,,south-africa
igor.cons,a rockstar on vacation,russia
f95553a9fb8c5d8eab630645b899d046,,brazil
f9703e4bd5080c5f366962b7d1bc1117,,united-kingdom
igor.chernishov,Travel & co,australia
f98dcb0bb014d97a9e1f25eeb216d714,,united-states
f9918f94f20861100623d2acf96d0438,,portugal
mike.stenh,,united-states
julie_pow,,united-states
pauline.coffey,,ireland
f9b551bad945ff1f36b253e5331790eb,,united-states
pauline.evers,,ireland
f9c59c285496b0a92479f52baeb4e118,,united-states
igor.belkov,,russia
igor.bazhenov,,ukraine
john-rota,,united-states
julie_s23,,united-kingdom
paulius.martinkenas,,lithuania
john-rosenh,,australia
mike.speig,,germany
paulina_sw,"wine enthusiast, WSET2",poland
f8cfea3c893c3fdd861d72787815cde4,,united-kingdom
natalie-edw,,united-kingdom
igor.hlavaty,,slovak-republic
f8e3beca31958ed2608a184a7a10f60c,,united-kingdom
john-rigg,,united-kingdom
f8e7133b9e3ff3cf500c0fb84014e980,,mexico
rickard.sterner,,sweden
john-roberts23,,canada
igor.giley,,ukraine
pauline-son,,italy
pauline-tel,Liquor Store Viti Wine & Lager - Downtown Vancouver,canada
rickard.hokros,,sweden
igor.gar,,brazil
igor-wiech,,poland
igor-vy,,united-states
igor-voro,,canada
john-scherr,,united-states
fa158ebe1b2ffce7ea670732b9d3d485,,ireland
natalia_kost,,united-kingdom
fa17bc72e210b317638ea203814a0e2d,"I love wine,especially pinot noir !",japan
natalia_hr,,united-states
julie_kos,,united-states
fa3a9916f214239bd3e03e806c8ca5bf,Wine Lover,portugal
paulius.c1,,lithuania
igor-.p,,ukraine
fa6450d3db9de5c0c27a9ef14f982ff5,,united-states
fa664ae3631e66efa0935be214ee1a60,,united-states
fa6deb022487c3dbac27a1193840559f,,korea-south
paulius.g,"Amante y mercante de vino • 
Wine lover & merchant • 
IG: blancotintocom • DipWSET Candidate",spain
natalia_e3,,costa-rica
rick_gen,,united-states
ignotas.maigys,,lithuania
f_s64,,canada
rick_led,,united-states
john-sewell1,,united-kingdom
john-scriven,,united-kingdom
f9e23af24452a6be6cd7d32b97713654,,south-africa
igor-shvetsov,,australia
julie_michal,,united-states
natalia_tou,,poland
pauline.reus,,australia
natalia_sok,,russia
igor-nev,,united-states
paulinelee2,"""See the world. Have some wine""",united-states
paulinel0,,canada
f_ff1,,canada
john-self,An executive recruiter focusing on healthcare lives in Dallas.,united-states
igor-kli,,ukraine
f_m215,,hong-kong
julie_lep,,canada
paula_may1,,canada
juliet-mor,,united-states
f318f10d9eec76481fb85632413859a7,Wine is a pleasure to share with family and  wines are incredible,portugal
ewa.mer,,switzerland
mike.mcive,,united-states
rinod0,,canada
in-woo.jung,,switzerland
ewa.polonis,,poland
imym,,netherlands
paul_r5,,canada
rino.zuzolo,,australia
ewa.stoj,,poland
john-hurley16,,united-states
mike.mciver,,united-states
rinny.s,,united-states
ewa_mat,,poland
john-i3,,canada
ewa_win,,united-kingdom
ewald.annink,,netherlands
ewa.mochocka,,poland
ewa.kwiat,,poland
paul_newt,,canada
mike.mcgirr,,united-states
evy.van-overvelt,,belgium
julius.kaluzevicius,,lithuania
evy_wi,,united-states
risa.coe,,korea-south
evzenie.tohami,,czech-republic
ewa-aniela.gryczonowna,,poland
ewa-bod,,poland
paul_nico,Love wine and fine dining,united-kingdom
natalie.wilson7,,canada
julius.bla,,united-states
natalie.we,,united-states
ewa.br,,poland
ina.mcdonald,,south-africa
ewa.cabaj,,germany
ewa.gibala,,poland
paul_rooney3,,ireland
john-iw,Old time wino.,united-states
juliosilva9,journalist,angola
john-j2,,united-states
natalie.skl,,netherlands
rimma-arutyunyan,,spain
julio.zam,,united-states
john-kelly16,,united-kingdom
julio.soto-md,,united-states
paul_smi,,united-states
rimarquec,,brazil
paul_smit1,,south-africa
im.helder.almeida,,denmark
ewoud.bu,,netherlands
paul_smulders1,,south-africa
ilze.vil,,latvia
ilze.ve,,latvia
ewouts,,netherlands
paul_stephens4,,united-kingdom
iman.ng,,hong-kong
paul_se,"Wine lover, especially of Italian origin in combination with Pecorino cheese.",netherlands
julio_osor,30 years of my life enjoying great wines,honduras
mike.mcnea1,,united-states
john-jackb,"60 year old semi retired.
Like to travel. Enjoying life and drinking wine.",united-kingdom
immy.collier,,united-kingdom
ewan-anderson,,united-kingdom
ewan-be,,united-states
paul_ruc,,hong-kong
ewan.clark,,canada
ewan.h,,australia
imcaeug.chaewook,,korea-south
paul_santi2,,united-states
mike.megraw,,canada
imjongseog.andrea,,italy
rina.rina12,,czech-republic
imic,,japan
ewas5,,poland
ind.b,,united-arab-emirates
risa.newton,"I love red wine and cheese 💕
I also like dancing 💃",japan
ilyam2,,spain
rita.byk,,united-states
jumarko.haryanto,,italy
evgeny-lukyanov,,united-kingdom
inga-harris,,united-kingdom
infintyi,,china
paul_harde,,canada
inez.leszczynska,,poland
paul_harn,,united-kingdom
john-glasc,,united-kingdom
paul_hava,,united-states
evgeny.kupriyanov,,russia
rita-o2,,united-states
john-greco,,united-states
paul_hughes15,,ireland
rita-mac,,united-states
paul_it,,netherlands
rita.booke,,united-states
rita.cambio,,united-states
rishabh-shah1,,united-kingdom
mike.loew,,canada
inge.schot,,netherlands
evgeniy.koloshkin,,russia
john-farru,,malta
paul_gibson11,,united-kingdom
john-flan,"Been enjoying wine for over 20yrs, keeping it simple, you either like it or you don't",united-kingdom
evgeniy.zabolotskih,,belarus
rita.hig,,south-africa
jun-gyu-lee,,korea-south
nataliet3,,australia
paul_grei,,united-states
evgeniya.shl,,cyprus
mike.lincoln1,,south-africa
evgeniya_sa,,russia
evgeniya_sh,,russia
paul_griffit,,united-kingdom
natalie_palmer1,,united-states
john-griffiths5,,united-kingdom
paul_jones23,,united-kingdom
paul_k16,,russia
evgueniis,,russia
john-hayes17,,united-states
evie.cl,,united-states
ristin.k,,estonia
juliusz.konczalski,,poland
evie.st,,united-states
indigofade,,australia
mike.mages,,united-states
inder.saini,,canada
mike.mahardy,,united-states
evinhak,,united-states
evlin.medina,,united-states
rishi.jyoti,,united-states
julius.seckelmann,,germany
mike.malon,,united-states
paul_liste,Back into wine (2016) after 10 years on the wagon. ,united-kingdom
indrek.heinmets,,malta
evgenys,,russia
evgeny_mar,,russia
ines.bloom,,poland
evgeny.urivalov,,russia
ines-jorge1,,united-kingdom
john-h,In the seach for complexity and elegance - high QPR rules my world!,denmark
ineke.owens,,ireland
jully.shevchenko,,ukraine
paul_kr,,united-states
evgenyg0,,netherlands
ine.g,,ireland
evgeny_rud,,russia
evgeny_sht,,canada
evgenych1,,romania
paul_l2,,france
natalie_jans,,united-states
paul_sweeney1,,united-states
ilyache1,Check our instagram @winewanters,netherlands
ildiko.braun,,hungary
paula.jah,,australia
f07695a2a6e69e2e529dd8bdd22c2ac1,,united-kingdom
f07dbf3451dca9b52ae5d9d3b9512cc9,,united-states
julija.bedrova,,united-kingdom
natalie.hoidal,,denmark
f09653cceef4f2f2f4f0f61f81bea6de,,portugal
ilkka.pi,,finland
juliew11,,united-states
f0af185b4bf592874e40a31ef90d0577,,belgium
f0b3242cf1e2574a3932eed1690b2ba1,,sweden
f0c244c153ab6f71a83531c1548a0928,,belgium
rika.yamaguchi,,japan
f0fedef554b101eb3eb9f2f3faf2b136,,united-kingdom
paula.macpherson,,canada
natalie.hac,,canada
ilker.i,,turkey
paula.jo,,portugal
julija.s1,,latvia
mike.nourse,,south-africa
f03507e04a936f5b3dfe44f2f78e35ce,,united-kingdom
ilona.ross,,estonia
paula.dona,,australia
mike.o-neill8,,united-states
mike.oconn,,united-states
f.mcg,,united-states
ilona.mu,,latvia
ilona.jermolajeva,,united-kingdom
natalie.knickle,,canada
rikke-mr,,denmark
mike.ohar,,south-africa
ilona.groenen,,netherlands
ilona.d.,,czech-republic
paula.florian,,united-states
illarion.pavliuk,,ukraine
julija_b,,latvia
mike.parker11,,united-kingdom
paula.may1,,united-kingdom
paula.micallef,,malta
iliya.se,,taiwan
riitta.ahokas,,finland
john-michael.jalonen,,united-states
ilia.kak,,russia
f26ce1b5c58b892607620e493a66f467,Wannabe Sommelier,united-states
f2ae6949e17ad86e9f8b6f2ded0af114,,united-states
ilia-m,,russia
john-miller72,,united-states
f2bb8f87166312d7feb6bfb4e9fb0229,,united-states
juliet.sa,,russia
ilhan.jung,,united-states
john-molo,,united-kingdom
f2f2b32a3a45527f3223c48ce7b61af7,,united-kingdom
f3062c676193ed7ddf824075d46147b8,,united-kingdom
ileana.coc,,denmark
john-morris2,,ireland
john-michael-peterf,Fast,united-kingdom
riitta.k1,,finland
f25393cb70abb95eb8e19fb05181772e,,russia
rik.bob,"basic somelier course, enjoy a good wine as long as it's good quality and good value",belgium
juliette.mu,,united-kingdom
paula.mus,,estonia
f156430f3199f04d6e9ef5c35744dec2,,united-states
john-mcneil,,canada
ilija.gospodinov,,macedonia
rik.brugman,,germany
ilias.malousaris,,greece
iliana.sa,Passionate about strong smoky reds and wonderful Jerez wines.,united-kingdom
ilias.andreopoulos,,greece
julieta.cac,,argentina
rijk.sc,,netherlands
f23cdea178bfbada0985f91ca268b2bb,,colombia
rijadz,,croatia
iliana.tovar,,united-states
ilona.saaretalu,,estonia
paula.di-m,,united-states
expert.wine,Carser a cotignac,finland
julio.escobar2,,guatemala
eyup.susler,,turkey
ilya.medo,,estonia
eyup.tuncer,,turkey
riley.mcadaragh,,united-states
ilya.kutsenko,,russia
eyvindurt,,united-states
paula-almeida,,portugal
mike.mohamed,"NYC based, I like discovering new wines and having fun doing it!",united-states
ezequiel.oren,,israel
ezequiel.pi,,united-states
ilya.kl,,ireland
paula-cordova,,ecuador
paula-drumond,,brazil
ezgi.kocak,,austria
ilya.gorevoy,,ukraine
john-kue,,united-states
eyglo.hildur,,iceland
paula.dapkus,,united-states
natalie.pott,,united-states
paul_thompson29,,united-kingdom
paul_tibb,,united-states
riley.sandbeck,,canada
ilya_ovchinnikov,,russia
ilya_ili,,russia
ilya_filippov,,russia
natalie.seely,,united-states
ilya19,,russia
eyal.lan,,united-kingdom
julio.giusti,,brazil
paul_van-la,,netherlands
paul_van-zijl,,denmark
eyalron,,united-states
ilya.tanaev,,russia
eyals,,israel
ilya.freyberg,,united-states
ilya.e,,germany
mike.montgomery1,,united-states
riley.giampaolo,,united-states
paula-sis,,united-states
ilteriss,,turkey
ilse_val,,united-states
julio-gue,,brazil
mike.mulville,,united-states
mike.muraw,,canada
rikp0,,netherlands
rikp,,united-kingdom
paula.arvidsson,,sweden
ilsa.mendoza-jackson,,united-states
natalie.louise1,"Sommelier at Oakridge Winery, Yarra Valley, Melbourne, Victoria",australia
rikki.ri,,iceland
natalie.leas,,united-states
rikki.fletcher,,canada
paula.clark2,,canada
natalie.micale,,united-states
ilutav,,latvia
paula-prado,,brazil
john-langl,,united-states
ezio.lis,,canada
julio.bri,,spain
julio.barre,,united-states
ilya.bae,,russia
julio.alo,,puerto-rico
riley-jaes,,united-states
riley-bra,,canada
natalie.mood,,korea-south
f-c172,,romania
paula-hann,,canada
paula-henry,,united-states
mike.mozg,,ukraine
paula-laurita,,united-states
john-lee28,,korea-south
john-torn1,,finland
natalia.oyola,,united-states
pawel_k14,,poland
richard_stone1,,united-kingdom
mike_laure,,united-states
john.chidley-hill,,canada
fe3615c3f45b59a99efee282c9923b89,,netherlands
paveld3,,russia
fe49858378f35428f5d701e52db090e1,,united-states
ian-williamson,,united-kingdom
ian-whea,,united-kingdom
fe56d184e14197516453a9f1732e7fdb,,portugal
nastya.domnikova,,ukraine
fe79a95c59142e056cb2b01efbdd3149,,united-states
richard_spence,,canada
ian-warr,,united-kingdom
john.clav,,spain
ian-vil,,united-kingdom
fe8561a69756fd6f7bfd5012e02d7b80,,korea-south
fe18664e96b88332d08071a1d82e934a,,switzerland
pavel_stanek1,,czech-republic
fe98e26a67b048cb5d56d1ddaa065e51,,united-states
ian.attwood,,united-kingdom
richard_wel,,united-kingdom
fd9e6cfe4bd34c349c8ec9260549fa66,,united-states
fd9e99e954e68a6b4c452e1d61009a7a,,united-kingdom
julie-mcmah,,united-states
fdd02676e00841378293f61b90a25d20,,united-kingdom
ian.barth,"I love drinking wine, cooking, writing and caring for dogs.",taiwan
ian.baraclough,,united-kingdom
julie-mccu,,canada
john.ces,,united-states
mike_l28,,united-states
john.champi,,singapore
richard_town,,united-kingdom
john.chate,,united-kingdom
julie-maek,,united-states
richard_taylor7,,united-kingdom
julie-keen1,,canada
feaa956af2983110fa407dd65dbf74d9,,united-states
natalia.orlova,,austria
nassifb,,belgium
federico.bergal,,argentina
richard_osbo,"Accountant by trade, wine lover by profession.",south-africa
federico.carvallo,,united-states
julie-hart2,,united-states
john.cough,,united-states
ian-p2,,canada
pavlo-k,,ukraine
ian-mcmahon,,south-africa
ian-mccall,,united-kingdom
john.cribbin,,hong-kong
richard_oakley,,united-kingdom
nashvin.dara,,singapore
julie-hanr,,united-states
federico.fab,God bless wine,italy
federico.fische,,united-states
mike_mald,,united-states
pavli.robo,,albania
mike_lewis6,,ireland
julie-henwood,,united-kingdom
mike_lovatt,,united-kingdom
nastasyau,,russia
ian-thoms,,australia
richard_rivera2,,united-states
nastasia.blamire,,south-africa
februari.roz,,netherlands
nastas-ia.fillipovna,,estonia
richard_reyno,,czech-republic
richard_rel,,united-kingdom
ian-sheppard1,,united-kingdom
ian-robinson16,,portugal
pavle.pavlenic,,united-kingdom
ian-pu,I love wine,south-africa
federico-di-marzio,,united-kingdom
federico-grig,,united-states
john.cecere,,united-kingdom
ian.bernardo,,australia
ian.blai,,united-kingdom
ian.gunn,,canada
ian.groeber,,united-kingdom
fb2ed95c0540eb7b2d1798e3a1fd6a0d,,korea-south
pavel.ma,,russia
fb57418bc2a0b04f49d82aa16c7e07e2,,peru
richardjohns2,,united-kingdom
pavel.maly,,russia
fb6086fa7d75c79bf2367beaa83b9929,,russia
pavel.maryukhta,,russia
ian.france,,united-kingdom
julie.azor,,united-kingdom
julie.atkinson2,,canada
julie.ardelean,,united-states
fb883bcba146e21e02cfc760bea8dd5e,,united-states
ian.flett,,denmark
fb9ffa4b8e3d2286ef6b9dcc1c7dd2b9,"Unprofessional, self-proclaimed wine connoisseur",canada
julie.bc,,united-states
fazil.a,,indonesia
ian.blann,,united-kingdom
ian.gusman,,malta
pavel.is,,russia
ian.karell,,estonia
richardmay9,,united-kingdom
pavel.kar,,russia
faye.scott,,united-states
ian.jeisman,,australia
faye.steele,,united-states
john.brewer1,,united-states
ian.hool,,united-kingdom
ian.hood,,united-states
pavel.kolga,,thailand
john.brindle,,united-states
mike_garri,,united-states
ian.hau,,united-kingdom
ian.hanco,,united-kingdom
ian.fingland,,canada
nat.nav,,united-states
nat.k.,,united-states
fbc6f78639eb115a64a4b47575f3a827,,united-states
ian.deetlefs,,south-africa
richardbarry2,,south-africa
john.busu,"wine for pleasure, health & friendship",malta
fcaffb6a09d550a61602416fa309ba7c,I’m here for the reds and the whites and also rose sometimes too,united-states
ian.cub,,united-kingdom
mike_howell,,united-states
ian.clark8,,united-states
richardanderson20,,netherlands
fcgomes.92,,brazil
mike_jackson22,,canada
mike_kang,,canada
ian.carroll1,,united-states
fd247b82c8a6fee7b65291f5dc6e7dd4,,united-states
ian.broughton,,united-kingdom
ian.boul,,france
fc9b0aeb9e5360bd64a06edfecb2e19c,,viet-nam
richardboot0,,united-kingdom
julie-van-vliet,,united-states
fc18c63b3f8a1e87df68edc04205a8d1,,france
richardh,Tá an saol ró-ghearr chun fíon dona a ól,ireland
fbe91114bd585dc17a355798099e4399,,japan
fbf11d339cd4834ecc52764cfe6de13f,,united-states
fbio.mend,,brazil
richardgrant5,,united-states
pavel.pekarik,,czech-republic
richardelliott2,,united-kingdom
richardbrown21,,united-kingdom
fc37fa0e6a35e235c40ca5c93c5037b7,,spain
fc521507186f435bb8199d343ae12a76,,united-states
ian.edn,,united-kingdom
fc5ba74eb5283e4a7009b6120c9b2203,,mexico
pavel.rieder,,czech-republic
ian.def,,united-kingdom
federico.guermandi,bevo per dimenticare,italy
ian-macin,,canada
ian-macdou,,ireland
john.e7,,united-states
iain_sha,,united-kingdom
richard_baxter1,,united-states
naren.akurati,,united-states
felipe.neves4,,spain
julianne-sm,,united-states
richard_bast,,netherlands
felipe.palom,,united-states
felipe.past,Instagram @vinotche,united-states
felipe.pinto7,,denmark
mike_vas,WSET Level 2,united-states
felipe_dua,🍷El vino tiene la magia para marcar ciertos momentos en el tiempo🍷,bolivia
felipe_fran,,brazil
felipe_g2,,united-states
pawel.malik,,poland
felipe_matt,,brazil
felipe.mah,,brazil
naresh-d-koka1,,united-states
richard_daws,,united-kingdom
mike_taylor17,,united-kingdom
nari-yu,,korea-south
iam1117mai,Love wine. Looking for some excellent one : ) I'm in Japan now,japan
felipe.anh,"Wine Geek, Wine Lover, Wine Enthusiast, Wine Learner...",brazil
mike_sweeney3,"Wine lover for 28+ years, married to a chef. Love to learn. Cheers to all 🥂",united-states
nargis-r,,united-states
richard_clo,,netherlands
iainbrown5hotmailcomb,,united-kingdom
richard_chu,,united-kingdom
john.dutko,Drinking my way through California and Washington!,united-states
julianne.st,,united-states
pawel.ked,,poland
felipe.far,,brazil
felipe.gentil,,brazil
richard_byrne1,,ireland
julianne.ne,,united-states
john.eisemann,,united-states
mike_vissers,,netherlands
nareg.sinenian,,singapore
john.emile,,canada
felix.bon,,puerto-rico
iain.hamilton,,south-africa
iain.gray,,united-states
juliana_galvao2,,brazil
nap.2809,,indonesia
john.finkbeiner,,united-states
pawel_f,,poland
juliana_b,"WSET 3
Wine and cooking: great passions .... Vinho e gastronomia: grandes paixões ...",netherlands
richard.winstanley,,united-kingdom
iain.barb,,united-kingdom
john.fiscu,,united-states
felix.gonzalez2,,puerto-rico
iain.aitken,,united-kingdom
mike_wiebe,,canada
naoya-ts,,japan
juliana_kn,,united-states
john.farnw,,canada
narakorn.vipachon,,thailand
juliane.sa,Just a young lady who likes to drink wine around the world.,brazil
iain.wareham,"Bon viveur & champagne aficionado 🍾🥂👍🏻
WSET level 1 ✅
WSET Level 2 distinction ✅",united-kingdom
iain.ur,,united-kingdom
juliane.zi,,germany
john.ennis1,,united-arab-emirates
richard_ari,,united-states
narciw,Wine makes me happy!,united-states
iain.sib,All things Wine and Food ,united-kingdom
iain.novak,,united-states
